EDD Subject ID,Class,Subject Name,Scientific Name
4414,1A,Common crupina,Crupina vulgaris
6158,1A,African rue,Peganum harmala
5103,1A,Small bugloss,Anchusa arvensis
4361,1A,Mediterranean sage,Salvia aethiopis
6048,1A,Spring millet,Milium vernale
6630,1A,Syrian beancaper,Zygophyllum fabago
6589,1A,Ventenata (North Africa grass),Ventenata dubia
3400,1A,Plumeless thistle,Carduus acanthoides
5281,1A,Malta starthistle,Centaurea melitensis
5061,1B,Camelthorn,Alhagi maurorum
3005,1B,Garlic mustard,Alliaria petiolata
5268,1B,Purple starthistle,Centaurea calcitrapa
4535,1B,Goatsrue,Galega officinalis
5215,1B,African mustard,Brassica tournefortii
3009,1B,Giant reed,Arundo donax
19655,1B,Japanese knotweed,Polygonum cuspidatum
5564,1B,Blueweed (Vipers bugloss),Echium vulgare
32051,1B,Elongated mustard,Brassica elongata
4411,1B,Common St. Johnswort,Hypericum perforatum
5937,1B,Oxeye daisy,Leucanthemum vulgare
30314,1B,Cutleaf vipergrass,Scorzonera laciniata
3405,2,Leafy spurge,Euphorbia esula
6507,2,Medusahead,Taeniatherum caput-medusae
4404,2,Rush skeletonweed,Chondrilla juncea
50209,2,Spotted knapweed,Centaurea stoebe
3047,2,Purple loosestrife,Lythrum salicaria
4373,2,Squarrose knapweed,Centaurea virgata
4587,2,Dyers woad,Isatis tinctoria
4390,2,Yellow starthistle,Centaurea solstitialis
3800,2,Yellow toadflax,Linaria vulgaris
4472,2,Diffuse knapweed,Centaurea diffusa
5736,2,Black henbane,Hyoscyamus niger
5939,2,Dalmation toadflax,Linaria dalmatica
4388,3,Russian knapweed,Acroptilon repens
5502,3,Houndstounge,Cynoglossum officianale
5931,3,Perennial pepperweed(Tall whitetop),Lepidium latifolium
59038,3,Phragmites (Common reed),Phragmites australisssp.
6515,3,Tamarisk (Saltcedar),Tamarix ramosissima
54552,3,Hoary cress,Cardariaspp.
2792,3,Canada thistle,Cirsium arvense
4365,3,Poison hemlock,Conium maculatum
3011,3,Musk thistle,Carduus nutans
5579,3,Quackgrass,Elymus repens
5038,3,Jointed goatgrass,Aegilops cylindrica
5484,3,Bermudagrass,Cynodon dactylon
3075,3,Perennial Sorghum spp.:Johnson Grass,Sorghumhalepense
6429,3,Perennial Sorghum spp.:Sorghumalmum,Sorghum almum
4432,3,Scotch thistle (Cotton thistle),Onopordum acanthium
4338,3,Field bindweed (Wild Morning-glory),Convolvulusspp.
3937,3,Puncturevine (Goathead),Tribulus terrestris
2433,4,Cogongrass(Japanese blood grass),Imperata cylindrica
5632,4,Myrtle spurge,Euphorbia myrsinites
5702,4,Dames Rocket,Hesperis matronalis
4408,4,Scotch broom,Cytisus scoparius
3022,4,Russian olive,Elaeagnus angustifolia
